Filepath,setBpm,Fail Reason
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1054d\,160,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1054e\,255,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1055f\,220,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1056c\,117,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1056e\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1058a\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1059\,130,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1059b\,208,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1059c\,142,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1059d\,191,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1059f\,200,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105a0\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105a0\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105a3\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105a3\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105a4\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105a9\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105a9\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105aa\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105ac\,129,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105ad\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105ae\,180,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105af\,116,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105b\,129,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105b3\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105b5\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105b8\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105ba\,100,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105bb\,128,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105be\,220,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105c\,112,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105c3\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105cb\,94,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105d\,154,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105d7\,156,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105e2\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105e8\,153,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\105f\,104,In Range
